Batterystats,Cpu,Memory,Type,Phone
163.7496,29.91272085,63109.77739,BaseApp,Lg
143.163936,16.94229391,64582.27599,BaseApp,Lg
133.650864,11.02181818,64618.88,BaseApp,Lg
138.01752,10.00361011,66267.70036,BaseApp,Lg
130.687776,12.6,66303.16727,BaseApp,Lg
199.48032,27.9032491,66357.23105,BaseApp,Lg
136.519344,6.512454212,66376.04029,BaseApp,Lg
130.441428,9.987226277,66334.91971,BaseApp,Lg
131.999868,10,66700.13187,BaseApp,Lg
129.973896,14.9810219,66537.59489,BaseApp,Lg
134.649216,10.01824818,66689.34307,BaseApp,Lg
129.35052,10,66576.09818,BaseApp,Lg
128.5713,13.38321168,66425.30657,BaseApp,Lg
136.831032,10.01454545,66212.28727,BaseApp,Lg
133.714152,10,66388.78545,BaseApp,Lg
154.681596,31.8866426,64185.07581,BaseApp,Lg
133.18506,10.08029197,64425.43066,BaseApp,Lg
130.536936,10,64210.55474,BaseApp,Lg
136.767816,8.771167883,64422.31022,BaseApp,Lg
129.29076,9.995620438,64428.36131,BaseApp,Lg
129.602304,10,64343.14652,BaseApp,Lg
128.979216,14.10583942,64221.0365,BaseApp,Lg
130.06962,9.937226277,64087.79927,BaseApp,Lg
131.62734,9.9996337,64636.36264,BaseApp,Lg
194.715,12.39194139,64563.38462,BaseApp,Lg
150.596712,28.89818182,64259.77818,BaseApp,Lg
134.867376,11.06617647,64633.54412,BaseApp,Lg
135.646056,15.19708029,64844.41606,BaseApp,Lg
128.4822,10.02197802,64714.32967,BaseApp,Lg
130.506768,10,64364.79927,BaseApp,Lg
152.777016,12.7032967,64524.97802,BaseApp,Lg
129.728088,6.534545455,64564.79273,BaseApp,Lg
130.351032,9.987318841,64487.49638,BaseApp,Lg
134.400168,10,64622.32727,BaseApp,Lg
130.973976,7.830656934,64762.39416,BaseApp,Lg
158.96088,36.98920863,66652.71942,BaseApp,Lg
132.155712,10.09747292,66551.37906,BaseApp,Lg
149.142708,32,66830.66787,BaseApp,Lg
133.402464,16.97463768,66845.61957,BaseApp,Lg
131.844024,11.02197802,66344.24176,BaseApp,Lg
128.259612,10.00738007,66361.30627,BaseApp,Lg
129.194676,11.92647059,66548.80147,BaseApp,Lg
129.662208,9.317216117,66419.63736,BaseApp,Lg
129.818052,9.994909091,66360.72727,BaseApp,Lg
136.3635,29,66672.38267,BaseApp,Lg
162.90144,33.9566787,63968.52708,BaseApp,Lg
151.15374,13.07608696,63857.61957,BaseApp,Lg
152.406828,11.00729927,63769.39781,BaseApp,Lg
147.081204,11.99635036,63574.35766,BaseApp,Lg
146.298024,12,63780.71062,BaseApp,Lg
138.2526,32,52849.97541,BaseApp,Samsung
136.6992,13.0785124,61550.16529,BaseApp,Samsung
137.16522,12.00413223,61598.18182,BaseApp,Samsung
133.90308,12,52753.97942,BaseApp,Samsung
142.29144,4.594650206,52951.46091,BaseApp,Samsung
130.018752,41.83565574,52788.90164,BaseApp,Samsung
140.29146,12.24793388,52576.36777,BaseApp,Samsung
136.45836,12,61745.1358,BaseApp,Samsung
127.412244,23.22727273,61568.8595,BaseApp,Samsung
134.618472,12.00414938,52826.29046,BaseApp,Samsung
131.398668,6.702057613,52663.1358,BaseApp,Samsung
134.618472,10.98181818,52763.80992,BaseApp,Samsung
168.6564,6.929338843,52550.13636,BaseApp,Samsung
139.218192,11.95785124,52757.85124,BaseApp,Samsung
134.465148,7.198347107,61516.74793,BaseApp,Samsung
148.867488,48.0204918,42458.66803,BaseApp,Samsung
175.41216,15.27272727,42467.76033,BaseApp,Samsung
148.24656,13.01666667,44710.92083,BaseApp,Samsung
154.611072,10.58016529,44620.66942,BaseApp,Samsung
139.087872,13,51487.04132,BaseApp,Samsung
137.846016,12.0083682,51434.41841,BaseApp,Samsung
135.05184,12,42564.92975,BaseApp,Samsung
136.914624,8.95785124,42613.63223,BaseApp,Samsung
137.38032,11.97520661,42623.88843,BaseApp,Samsung
138.466944,12,42662.58333,BaseApp,Samsung
128.304504,33.87238494,51212.51464,BaseApp,Samsung
134.122608,12.18181818,53287.89256,BaseApp,Samsung
128.763828,11.00826446,42714.57438,BaseApp,Samsung
134.581932,22.5186722,42433.04979,BaseApp,Samsung
134.581932,7.55308642,42728.35391,BaseApp,Samsung
135.041256,11.96182573,42454.32365,BaseApp,Samsung
129.835584,11.00823045,42621.12757,BaseApp,Samsung
130.754232,10.00829876,51363.70954,BaseApp,Samsung
139.787604,11.98360656,42763.0123,BaseApp,Samsung
131.67288,5.512396694,42648.40909,BaseApp,Samsung
130.90734,38.8473251,42493.6749,BaseApp,Samsung
128.406636,13.52697095,42453.9834,BaseApp,Samsung
131.667264,9.570539419,42793.56017,BaseApp,Samsung
133.685748,10.98755187,51173.0166,BaseApp,Samsung
132.288336,11,51141.16049,BaseApp,Samsung
166.13676,11.93692946,44532.71784,BaseApp,Samsung
145.486116,6.521161826,42543.31535,BaseApp,Samsung
