Group,Timestamp,Email address,Provide here the date for which you are rating your activity,I am happy with the daily activity suggested to me today,I performed the daily activity suggested to me today,Provide here if you have performed any other physical activity today
R,1/14/2021 16:16:16,12,1/14/2021,4,Yes,No.
R,1/18/2021 18:51:04,12,1/16/2021,3,Yes,No.
R,1/18/2021 18:51:24,12,1/17/2021,4,Yes,No.
R,1/27/2021 16:10:24,12,1/18/2021,4,Yes,Ran.
R,1/27/2021 16:10:48,12,1/19/2021,1,No,No
R,1/27/2021 16:11:30,12,1/20/2021,4,Yes,No
R,1/27/2021 16:11:54,12,1/21/2021,2,No,No
R,1/27/2021 16:12:09,12,1/22/2021,4,Yes,Ran
R,1/27/2021 16:12:27,12,1/23/2021,1,No,No
R,1/27/2021 16:12:46,12,1/24/2021,1,No,No
R,1/27/2021 16:13:04,12,1/25/2021,4,Yes,No
R,1/27/2021 16:13:21,12,1/26/2021,1,No,No
R,1/27/2021 16:13:44,12,1/27/2021,2,No,No
R,2/10/2021 12:53:43,12,1/27/2021,4,Yes,No
R,2/10/2021 12:54:05,12,1/28/2021,4,Yes,No
R,2/10/2021 12:54:20,12,1/29/2021,2,No,Ran
R,2/10/2021 12:54:38,12,1/30/2021,4,Yes,No
R,2/10/2021 12:54:54,12,1/31/2021,4,Yes,No
R,2/10/2021 12:55:17,12,2/1/2021,2,No,Ran
R,2/10/2021 12:55:42,12,2/2/2021,4,Yes,No
R,2/10/2021 12:56:04,12,2/3/2021,2,No,No
R,2/10/2021 12:56:22,12,2/4/2021,4,Yes,Ran
R,2/10/2021 12:56:54,12,2/5/2021,4,Yes,No
R,2/10/2021 12:57:15,12,2/6/2021,4,Yes,No
R,2/10/2021 12:57:28,12,2/7/2021,4,Yes,Ran
R,2/10/2021 12:57:53,12,2/8/2021,4,Yes,No
R,2/10/2021 12:58:10,12,2/9/2021,4,Yes,No
R,2/10/2021 12:58:29,12,2/10/2021,1,No,Ran
R,2/15/2021 10:13:57,12,2/11/2021,5,Yes,No
R,2/15/2021 10:14:23,12,2/12/2021,3,No,Nothing
R,2/15/2021 10:14:53,12,2/13/2021,5,Yes,No
R,2/15/2021 10:15:11,12,2/14/2021,5,Yes,No
R,2/15/2021 10:15:37,12,2/15/2021,4,Yes,Ran
B,1/15/2021 19:17:30,15,1/15/2021,4,Yes,N/A
B,1/18/2021 21:19:20,15,5/16/1996,4,Yes,n/a
B,1/20/2021 22:51:25,15,1/20/2021,3,No,Yes. Took a walk. 
B,1/25/2021 18:49:21,15,1/25/2021,4,Yes,1 hour walk and 20min stretching 
B,1/27/2021 17:09:12,15,1/27/2021,3,No,20 min walk
B,2/1/2021 20:57:06,15,2/1/2021,4,No,N/A
B,2/5/2021 18:30:04,15,2/5/2021,4,No,"8 hours of active work (walking, lifting heavy items)"
R,1/12/2021 20:13:55,2,1/12/2021,4,Yes,No
R,1/13/2021 14:39:24,2,1/13/2021,4,Yes,No
R,1/15/2021 18:11:19,2,1/15/2021,4,Yes,Walking for extra time
R,1/18/2021 9:30:02,2,1/17/2021,5,Yes,No
