Group,Timestamp,Email address,Provide here the date for which you are rating your activity,I am happy with the daily activity suggested to me today,I performed the daily activity suggested to me today,Provide here if you have performed any other physical activity today
R,12/6/2020 0:22:03,8,12/3/2020,3,Yes,There was no activity for today
R,12/6/2020 0:22:23,8,12/4/2020,4,No,None
R,12/6/2020 0:23:27,8,12/5/2020,3,Yes,There was no activity for today besides walking the stairs
R,12/6/2020 20:31:35,8,12/6/2020,2,Yes,Walking/jogging
R,12/8/2020 10:12:47,8,12/7/2020,3,No,None
R,12/9/2020 1:55:16,8,12/8/2020,2,Yes,Walking
R,12/9/2020 23:44:04,8,12/9/2020,5,Yes,None
R,12/10/2020 18:48:33,8,12/10/2020,4,Yes,None
R,12/13/2020 20:36:45,8,12/12/2020,5,Yes,None
R,12/13/2020 20:37:16,8,12/13/2020,5,Yes,None
R,12/16/2020 14:13:06,8,12/14/2020,4,No,-
R,12/16/2020 14:13:51,8,12/15/2020,5,Yes,-
R,12/16/2020 14:14:09,8,12/16/2020,5,Yes,-
R,12/17/2020 22:56:39,8,12/17/2020,4,No,Walking/jogging
R,12/20/2020 20:31:14,8,12/18/2020,5,Yes,None
R,12/20/2020 20:31:29,8,12/19/2020,5,Yes,None
R,12/20/2020 20:31:50,8,12/20/2020,2,Yes,None
R,12/21/2020 23:51:18,8,12/21/2020,1,No,None
R,12/25/2020 1:35:06,8,12/24/2020,5,Yes,None
R,12/25/2020 1:35:26,8,12/22/2020,5,Yes,Nond
R,12/26/2020 0:08:02,8,12/25/2020,3,No,None
R,12/27/2020 1:39:38,8,12/26/2020,5,Yes,None
R,12/28/2020 0:26:15,8,12/27/2020,5,Yes,None
R,12/29/2020 0:18:31,8,12/28/2020,4,Yes,None
R,12/30/2020 0:37:57,8,12/29/2020,5,Yes,None
R,12/30/2020 18:13:37,8,12/30/2020,5,Yes,None
R,12/25/2020 1:34:39,8,12/23/2020,5,No,None
R,12/4/2020 19:39:19,5,12/4/2020,5,No,No
R,12/6/2020 21:19:29,5,12/6/2020,5,Yes,no
R,12/10/2020 10:39:01,5,12/9/2020,5,Yes,No
R,12/11/2020 13:12:43,5,12/10/2020,5,Yes,No
R,12/16/2020 18:19:12,5,12/16/2020,4,Yes,no
R,12/18/2020 18:55:14,5,12/18/2020,5,Yes,yes
R,12/20/2020 13:53:53,5,12/19/2020,3,Yes,no
R,12/20/2020 13:54:09,5,12/20/2020,3,Yes,no
R,12/21/2020 14:39:21,5,12/21/2020,5,Yes,yes
R,12/8/2020 17:53:55,9,12/7/2020,4,No,No
R,12/8/2020 19:14:45,9,12/8/2020,4,Yes,A little walk (15 mins)
R,12/9/2020 20:49:27,9,12/9/2020,4,Yes,45-min walk
R,12/10/2020 18:37:41,9,12/10/2020,5,Yes,30-min walk
R,12/11/2020 22:17:18,9,12/11/2020,4,Yes,No
R,12/13/2020 20:31:13,9,12/12/2020,4,Yes,No
R,12/13/2020 20:31:40,9,12/13/2020,4,Yes,2-hour walk
R,12/16/2020 14:14:35,9,12/14/2020,3,No,2 hour walk
R,12/16/2020 14:15:54,9,12/15/2020,4,Yes,No
R,12/17/2020 3:05:22,9,12/16/2020,3,No,No
R,12/18/2020 12:14:34,9,12/17/2020,4,Yes,2 hour walk
R,12/20/2020 11:36:28,9,12/18/2020,3,No,No
R,12/20/2020 11:36:58,9,12/19/2020,4,Yes,2 hour walk
R,12/22/2020 21:25:29,9,12/20/2020,4,Yes,2 hour walk
R,12/22/2020 21:26:25,9,12/21/2020,4,No,No
R,12/22/2020 21:26:55,9,12/22/2020,4,Yes,90 minutes of basketball
R,12/30/2020 23:27:28,9,12/25/2020,4,No,No
R,12/30/2020 23:27:49,9,12/26/2020,4,No, 2 hour walk
R,12/30/2020 23:28:15,9,12/26/2020,4,No,No
R,12/30/2020 23:28:33,9,12/27/2020,4,No,No
R,12/30/2020 23:28:53,9,12/28/2020,4,No,2 hour walk 
R,12/30/2020 23:29:22,9,12/29/2020,4,Yes,3 hour walk
R,12/30/2020 23:29:42,9,12/30/2020,4,No,2 hour walk
B,12/3/2020 20:53:31,11,12/3/2020,5,Yes,None
B,12/4/2020 18:39:48,11,12/4/2020,5,Yes,30min Qi Gong
B,12/6/2020 1:18:25,11,12/5/2020,5,Yes,30min Qi Gong
B,12/7/2020 1:51:56,11,12/6/2020,5,Yes,None
B,12/7/2020 22:34:50,11,12/7/2020,5,Yes,None
B,12/9/2020 0:07:47,11,12/8/2020,5,Yes,None
B,12/9/2020 21:12:59,11,12/9/2020,5,Yes,None
B,12/11/2020 0:24:53,11,12/10/2020,5,Yes,None
B,12/11/2020 22:55:06,11,12/11/2020,5,Yes,None
B,12/12/2020 23:27:59,11,12/12/2020,4,Yes,None
B,12/13/2020 20:43:10,11,12/13/2020,4,Yes,None
B,12/14/2020 23:55:43,11,12/14/2020,4,No,None
B,12/16/2020 14:15:17,11,12/15/2020,5,Yes,None
B,12/17/2020 1:50:07,11,12/16/2020,5,No,None
B,12/17/2020 21:10:52,11,12/17/2020,5,Yes,None
B,12/19/2020 11:07:56,11,12/18/2020,5,Yes,Way too much walking
B,12/19/2020 22:56:47,11,12/19/2020,5,Yes,None
B,12/20/2020 20:36:43,11,12/20/2020,5,Yes,None
B,12/23/2020 1:50:34,11,12/22/2020,5,Yes,None
B,12/23/2020 22:40:54,11,12/23/2020,5,Yes,None
B,12/24/2020 23:01:27,11,12/24/2020,5,Yes,None
B,12/26/2020 18:13:54,11,12/26/2020,5,Yes,None
B,12/28/2020 1:33:23,11,12/27/2020,5,Yes,None
B,12/29/2020 17:27:08,11,12/28/2020,5,Yes,None
B,12/29/2020 17:27:20,11,12/29/2020,5,Yes,None
B,12/31/2020 0:13:24,11,12/30/2020,5,Yes,None
B,1/1/2021 3:10:11,11,12/31/2020,5,Yes,None
R,12/4/2020 11:38:23,6,12/3/2020,5,Yes,I cycled for 1 hour
R,12/4/2020 21:47:34,6,12/4/2020,5,Yes,I walked a lot that day more than 1000 steps easy
R,12/6/2020 20:14:17,6,12/5/2020,5,Yes,I cycled for 40 minutes
R,12/6/2020 20:14:53,6,12/6/2020,5,Yes,Walked for 20 minutes
R,12/8/2020 20:27:13,6,12/7/2020,4,No,cycled for 40 minutes
R,12/8/2020 20:27:37,6,12/8/2020,5,Yes,no
R,12/11/2020 13:21:04,6,12/9/2020,5,No,No
R,12/11/2020 13:21:19,6,12/10/2020,5,Yes,No
R,12/16/2020 16:02:50,6,12/14/2020,5,No,None
R,12/16/2020 16:03:28,6,12/15/2020,5,Yes,I danced for about 15 minutes and went for a 10 minute run
R,12/17/2020 21:11:43,6,12/16/2020,5,Yes,.
R,12/17/2020 21:12:06,6,12/17/2020,5,Yes,I went for a short run of 10 minutes
R,12/4/2020 12:04:08,10,12/3/2020,2,Yes,Karate Training
R,12/4/2020 12:05:10,10,12/4/2020,5,Yes,Salsa Dancing
R,12/6/2020 15:43:36,10,12/5/2020,3,Yes,Bouldering
R,12/6/2020 15:44:03,10,12/6/2020,3,Yes,Dancing Practice
R,12/8/2020 9:09:19,10,12/7/2020,2,No,Dance Practice (3 hours)
R,12/9/2020 8:57:58,10,12/8/2020,2,Yes,Karate Practice
R,12/11/2020 14:29:28,10,12/10/2020,2,Yes,Karate practice
R,12/11/2020 18:04:01,10,12/11/2020,3,Yes,"Dancing Practice, Yoga"
