Timestamp,Email address,Name,Surname,Age,Mother-tongue,What job do you do?,How many hours a week do you work-out?,Gender,Android software Version (you can find your version following these steps: https://support.google.com/android/answer/7680439?hl=en),Phone model/brand
11/19/2020 11:38:04,1,1,1,32,Italian,Researcher?,3,Male,Android 10,XiaoMi 9T PRO
11/19/2020 11:42:32,2,2,2,31,Arabic,Student,3,Male,Android 11,Oneplus 7T Pro
11/19/2020 12:33:41,3,3,3,18,German,Student at VU Amsterdam,9,Male,Android 9,HTC U11
11/19/2020 12:52:34,4,4,4,20,Dutch,unemployed/student,6 - 8 hours,Male,Android 8,sony xperia x compact f5321
11/19/2020 14:23:55,5,5,5,26,Greek,srudent,0,Male,Android 10,samsung s9+
11/19/2020 17:54:14,6,6,6,20,Dutch,no,3,Female,Android 9,Samsung galaxy s8
11/24/2020 13:41:37,7,7,7,25,Dutch,coffeebar owner,4.5,Male,Android 10,Samsung
11/24/2020 13:43:41,8,8,8,21,Dutch&Moroccan,Student & debitmanagement,12,Female,Android 10,Samsung S20
11/24/2020 14:12:14,9,9,9,24,Italian,Student,1-2,Male,Android 10,Honor View 10
11/24/2020 17:15:32,10,10,10,23,German,Student: Artificial Intelligence,7-10,Male,Android 10,Samsung Galaxy
11/26/2020 13:41:57,11,11,11,20,French,Student,0,Female,Android 10,Redmi Note 9S
1/7/2021 15:07:55,12,12,12,23,Dutch & German,"Full-time student, student-assistant, and tutor",6,Male,Android 10,OnePlus
1/7/2021 15:45:50,13,13,13,26,Punjabi,Masters Student - unemployed,3,Male,Android 9,Redmit Note 8
1/8/2021 21:21:17,14,14,14,21,Dutch,Student,3,Female,Android 10,Samsung Galaxy s10
1/12/2021 11:38:25,15,15,15,24,Bulgarian,N/A ,7-14,Female,Android 7,Samsung Galaxy A5 2016
